degree_level,name,sort_order,is_active
SSC,Secondary School Certificate,1,1
SSC,Dakhil,2,1
SSC,SSC Vocational,3,1
SSC,O Level,4,1
HSC,Higher Secondary Certificate,1,1
HSC,Alim,2,1
HSC,HSC Vocational,3,1
HSC,Business Management and Technology,4,1
HSC,A Level,5,1
Diploma,Diploma in Engineering,1,1
Diploma,Diploma in Computer Engineering,2,1
Diploma,Diploma in Civil Engineering,3,1
Diploma,Diploma in Electrical Engineering,4,1
Diploma,Diploma in Mechanical Engineering,5,1
Diploma,Diploma in Electronics Engineering,6,1
Diploma,Diploma in Telecommunication Engineering,7,1
Diploma,Diploma in Power Engineering,8,1
Diploma,Diploma in Automobile Engineering,9,1
Diploma,Diploma in Architecture,10,1
Diploma,Diploma in Textile Engineering,11,1
Diploma,Diploma in Garments Design and Pattern Making,12,1
Diploma,Diploma in Graphic Design,13,1
Diploma,Diploma in Nursing,14,1
Diploma,Diploma in Midwifery,15,1
Diploma,Diploma in Medical Technology,16,1
Diploma,Diploma in Pharmacy,17,1
Diploma,Diploma in Agriculture,18,1
Diploma,Diploma in Fisheries,19,1
Diploma,Diploma in Livestock,20,1
Diploma,Diploma in Marine Engineering,21,1
Diploma,Diploma in Hotel Management,22,1
Diploma,Diploma in Tourism and Hospitality Management,23,1
Bachelor,Bachelor of Arts,1,1
Bachelor,Bachelor of Social Science,2,1
Bachelor,Bachelor of Science,3,1
Bachelor,Bachelor of Commerce,4,1
Bachelor,Bachelor of Business Administration,5,1
Bachelor,Bachelor of Business Studies,6,1
Bachelor,Bachelor of Economics,7,1
Bachelor,B.A. in Bangla,8,1
Bachelor,B.A. in English,9,1
Bachelor,B.A. in History,10,1
Bachelor,B.A. in Islamic Studies,11,1
Bachelor,B.S.S. in Economics,12,1
Bachelor,B.S.S. in Political Science,13,1
Bachelor,B.S.S. in Sociology,14,1
Bachelor,B.S.S. in Public Administration,15,1
Bachelor,B.S.S. in Development Studies,16,1
Bachelor,B.Sc. in Computer Science and Engineering,17,1
Bachelor,B.Sc. in Computer Science,18,1
Bachelor,B.Sc. in Software Engineering,19,1
Bachelor,B.Sc. in Information Technology,20,1
Bachelor,B.Sc. in Electrical and Electronic Engineering,21,1
Bachelor,B.Sc. in Electrical and Computer Engineering,22,1
