name,is_default
Sales and Marketing,1
Accounting and Finance,1
Human Resources,1
Administration,1
IT and Software,1
Customer Support,1
Operations,1
Supply Chain and Procurement,1
Production and Quality Control,1
Education and Training,1
Business Development,1
Retail and Store Operations,1
Corporate Sales,1
Field Sales,1
Digital Marketing,1
Content and Creative,1
Graphic Design,1
Data Entry and Back Office,1
Call Center and Telemarketing,1
Front Desk and Reception,1
Office Management,1
Legal and Compliance,1
Audit and Tax,1
Banking and Financial Services,1
Risk Management,1
Merchandising,1
Garments Production,1
Textile Engineering,1
Maintenance and Engineering,1
Electrical and Electronics,1
Mechanical Engineering,1
Civil Engineering and Construction,1
Architecture and Design,1
Procurement and Sourcing,1
Inventory and Warehouse,1
Logistics and Distribution,1
Import and Export,1
Research and Development,1
Data Analysis and Reporting,1
Project Management,1
Product Management,1
Quality Assurance,1
Healthcare and Medical,1
Pharmaceutical Sales,1
Agriculture and Fisheries,1
Hospitality and Tourism,1
Security and Safety,1
Driving and Transportation,1
Cleaning and Facility Services,1
Media and Communication,1
Event Management,1
Training and Development,1
