name,description
Full Time,Regular full-time employment
Part Time,Bdjobs quick link based part time jobs
Contractual,Bdjobs quick link based contractual jobs
Internship,Bdjobs quick link based internship opportunity
Work From Home,Bdjobs quick link based work from home jobs
Overseas,Bdjobs quick link based overseas jobs
Fresher,Bdjobs quick link based fresher jobs
Government,Bdjobs quick link based government jobs
Private Company,Private company employment
Semi Government,Semi-government organization employment
NGO,NGO or development organization employment
International Organization,International organization employment
Autonomous,Autonomous organization employment
Freelance,Project based independent contractor work
Temporary,Short-term temporary employment
Permanent,Long-term permanent employment
Remote,Remote work based employment
Hybrid,Hybrid office and remote employment
On-site,Office or workplace based employment
Apprenticeship,Learning and work based apprenticeship
Commission Based,Sales or target based commission role
Project Based,Employment for a specific project
Consultant,Consulting or advisory role
Volunteer,Unpaid or allowance based volunteer role
Probationary,Employment under probation period
Seasonal,Season based temporary employment
Shift Based,Role with rotating or fixed shifts
Daily Basis,Daily wage or daily contract work
Hourly Basis,Hourly wage based work
