"district_name","name"
"Cumilla","Debidwar"
"Cumilla","Barura"
"Cumilla","Brahmanpara"
"Cumilla","Chandina"
"Cumilla","Chauddagram"
"Cumilla","Daudkandi"
"Cumilla","Homna"
"Cumilla","Laksam"
"Cumilla","Muradnagar"
"Cumilla","Nangalkot"
"Cumilla","Comilla Sadar"
"Cumilla","Meghna"
"Cumilla","Monohargonj"
"Cumilla","Sadarsouth"
"Cumilla","Titas"
"Cumilla","Burichang"
"Cumilla","Lalmai"
"Feni","Chhagalnaiya"
"Feni","Feni Sadar"
"Feni","Sonagazi"
"Feni","Fulgazi"
"Feni","Parshuram"
"Feni","Daganbhuiyan"
"Brahmanbaria","Brahmanbaria Sadar"
"Brahmanbaria","Kasba"
"Brahmanbaria","Nasirnagar"
"Brahmanbaria","Sarail"
"Brahmanbaria","Ashuganj"
"Brahmanbaria","Akhaura"
"Brahmanbaria","Nabinagar"
"Brahmanbaria","Bancharampur"
"Brahmanbaria","Bijoynagar"
"Rangamati","Rangamati Sadar"
"Rangamati","Kaptai"
"Rangamati","Kawkhali"
"Rangamati","Baghaichari"
"Rangamati","Barkal"
"Rangamati","Langadu"
"Rangamati","Rajasthali"
"Rangamati","Belaichari"
"Rangamati","Juraichari"
"Rangamati","Naniarchar"
"Noakhali","Noakhali Sadar"
"Noakhali","Companiganj"
"Noakhali","Begumganj"
"Noakhali","Hatia"
"Noakhali","Subarnachar"
"Noakhali","Kabirhat"
"Noakhali","Senbug"
"Noakhali","Chatkhil"
"Noakhali","Sonaimori"
"Chandpur","Haimchar"
"Chandpur","Kachua"
"Chandpur","Shahrasti"
"Chandpur","Chandpur Sadar"
"Chandpur","Matlab South"
"Chandpur","Hajiganj"
"Chandpur","Matlab North"
"Chandpur","Faridgonj"
"Lakshmipur","Lakshmipur Sadar"
"Lakshmipur","Kamalnagar"
"Lakshmipur","Raipur"
"Lakshmipur","Ramgati"
"Lakshmipur","Ramganj"
"Chattogram","Rangunia"
"Chattogram","Sitakunda"
"Chattogram","Mirsharai"
"Chattogram","Patiya"
"Chattogram","Sandwip"
"Chattogram","Banshkhali"
"Chattogram","Boalkhali"
"Chattogram","Anwara"
"Chattogram","Chandanaish"
"Chattogram","Satkania"
"Chattogram","Lohagara"
"Chattogram","Hathazari"
"Chattogram","Fatikchhari"
"Chattogram","Raozan"
"Chattogram","Karnafuli"
"Coxsbazar","Coxsbazar Sadar"
"Coxsbazar","Chakaria"
"Coxsbazar","Kutubdia"
"Coxsbazar","Ukhiya"
"Coxsbazar","Moheshkhali"
"Coxsbazar","Pekua"
"Coxsbazar","Ramu"
"Coxsbazar","Teknaf"
"Khagrachhari","Khagrachhari Sadar"
"Khagrachhari","Dighinala"
"Khagrachhari","Panchari"
"Khagrachhari","Laxmichhari"
"Khagrachhari","Mohalchari"
"Khagrachhari","Manikchari"
"Khagrachhari","Ramgarh"
"Khagrachhari","Matiranga"
"Khagrachhari","Guimara"
"Bandarban","Bandarban Sadar"
"Bandarban","Alikadam"
"Bandarban","Naikhongchhari"
"Bandarban","Rowangchhari"
"Bandarban","Lama"
"Bandarban","Ruma"
"Bandarban","Thanchi"
"Sirajganj","Belkuchi"
"Sirajganj","Chauhali"
"Sirajganj","Kamarkhand"
"Sirajganj","Kazipur"
"Sirajganj","Raigonj"
"Sirajganj","Shahjadpur"
"Sirajganj","Sirajganj Sadar"
"Sirajganj","Tarash"
"Sirajganj","Ullapara"
"Pabna","Sujanagar"
"Pabna","Ishurdi"
"Pabna","Bhangura"
"Pabna","Pabna Sadar"
"Pabna","Bera"
"Pabna","Atghoria"
"Pabna","Chatmohar"
"Pabna","Santhia"
"Pabna","Faridpur"
"Bogura","Kahaloo"
"Bogura","Bogra Sadar"
"Bogura","Shariakandi"
"Bogura","Shajahanpur"
"Bogura","Dupchanchia"
"Bogura","Adamdighi"
"Bogura","Nondigram"
"Bogura","Sonatala"
"Bogura","Dhunot"
"Bogura","Gabtali"
"Bogura","Sherpur"
"Bogura","Shibganj"
"Rajshahi","Paba"
"Rajshahi","Durgapur"
"Rajshahi","Mohonpur"
"Rajshahi","Charghat"
"Rajshahi","Puthia"
"Rajshahi","Bagha"
"Rajshahi","Godagari"
"Rajshahi","Tanore"
"Rajshahi","Bagmara"
"Natore","Natore Sadar"
"Natore","Singra"
"Natore","Baraigram"
"Natore","Bagatipara"
"Natore","Lalpur"
"Natore","Gurudaspur"
"Natore","Naldanga"
"Joypurhat","Akkelpur"
"Joypurhat","Kalai"
"Joypurhat","Khetlal"
"Joypurhat","Panchbibi"
"Joypurhat","Joypurhat Sadar"
"Chapainawabganj","Chapainawabganj Sadar"
"Chapainawabganj","Gomostapur"
"Chapainawabganj","Nachol"
"Chapainawabganj","Bholahat"
"Chapainawabganj","Shibganj"
"Naogaon","Mohadevpur"
"Naogaon","Badalgachi"
"Naogaon","Patnitala"
"Naogaon","Dhamoirhat"
"Naogaon","Niamatpur"
"Naogaon","Manda"
"Naogaon","Atrai"
"Naogaon","Raninagar"
"Naogaon","Naogaon Sadar"
"Naogaon","Porsha"
"Naogaon","Sapahar"
"Jashore","Manirampur"
"Jashore","Abhaynagar"
"Jashore","Bagherpara"
"Jashore","Chougachha"
"Jashore","Jhikargacha"
"Jashore","Keshabpur"
"Jashore","Jessore Sadar"
"Jashore","Sharsha"
"Satkhira","Assasuni"
"Satkhira","Debhata"
"Satkhira","Kalaroa"
"Satkhira","Satkhira Sadar"
"Satkhira","Shyamnagar"
"Satkhira","Tala"
"Satkhira","Kaliganj"
"Meherpur","Mujibnagar"
"Meherpur","Meherpur Sadar"
"Meherpur","Gangni"
"Narail","Narail Sadar"
"Narail","Lohagara"
"Narail","Kalia"
"Chuadanga","Chuadanga Sadar"
